phenomenon,initials,hanzi_norm,hanzi_trunc,pinyin_norm,pinyin_trunc,pinyin_abbrev_norm,row_mean,row_median
question_nandao_scope_1,0.7767000000000001,0.0,0.64,0.86,0.76,0.75,0.6311166666666667,0.755
question_nandao_scope_2,0.7033,0.47,0.72,0.5,0.02,0.14,0.42555000000000004,0.485
question_particle_daodi_choice_intran,0.7232999999999999,0.91,1.0,0.1,0.64,0.96,0.7222166666666667,0.81665
question_particle_daodi_choice_tran,0.5067,0.98,1.0,0.18,0.38,0.96,0.6677833333333334,0.73335
question_particle_nandao,0.88,1.0,0.85,0.02,0.0,0.97,0.62,0.865
relative_operator_intepretation,1.0,0.0,0.0,0.9,0.02,0.72,0.43999999999999995,0.37
relative_operator_who,0.9333,0.84,0.95,0.96,0.99,0.81,0.9138833333333333,0.94165
relativization_movement_no_gap,0.0,0.76,0.66,0.4,0.4,0.43,0.44166666666666665,0.41500000000000004
relativization_movement_when_where,0.0533,0.67,0.69,0.8,0.89,0.93,0.6722166666666668,0.745
renhe_no_episodic_sentences,0.1767,0.7,0.14,0.23,0.03,0.1,0.22945000000000002,0.15835
renhe_no_superordinate_negation,0.9933,0.02,0.12,0.59,0.48,1.0,0.5338833333333333,0.5349999999999999
renhe_non_factive_verb,1.0,0.25,0.41,0.44,0.29,0.94,0.555,0.425
right_yijing_a,0.9,0.35,0.51,0.89,0.71,0.77,0.6883333333333334,0.74
right_yijing_b,0.66,0.62,0.74,0.6,0.33,0.7,0.6083333333333334,0.64
singular_PN_but_plural_pron,0.07,0.63,0.54,0.51,0.0,0.18,0.32166666666666666,0.345
superlative_quantifiers_1,0.3767,0.67,0.23,1.0,0.97,0.9,0.6911166666666667,0.785
superlative_quantifiers_2,1.0,1.0,0.61,0.98,1.0,1.0,0.9316666666666666,1.0
topicalization_OSV,0.5832999999999999,0.45,0.87,0.97,0.93,0.73,0.7555499999999999,0.8
topicalization_OSV_mei,0.5533,0.24,0.71,0.9,0.99,0.32,0.6188833333333333,0.63165
topicalization_SOV_mei,0.6267,0.73,0.83,0.91,0.77,0.42,0.7144500000000001,0.75
verb_negation_particle,0.4432999999999999,0.62,0.31,0.74,0.24,0.53,0.48055000000000003,0.48664999999999997
verb_phrase_left_adverbial,0.4567,0.86,0.67,0.66,0.59,0.52,0.6261166666666667,0.625
verb_phrase_left_negation,0.6333,0.35,0.41,0.89,0.86,0.59,0.6222166666666666,0.61165
ya_insertion,0.5233,0.94,1.0,0.45,0.49,0.58,0.6638833333333333,0.55165
you_quantifier_adj,0.5,0.95,0.92,0.9,0.83,0.61,0.785,0.865
you_yige,0.0,1.0,1.0,0.11,0.16,0.08,0.39166666666666666,0.135
